"cleaned","label"
"beginning tomorrow 111 the covid19 vaccine will be available to people 75 and older first responders teachers and education staff public safety workers and public transit workers to find the vaccine distribution center near you","0"
"with a vaccine in sight renters begin to return to nyc full story here","0"
"useful thread on continuing vaccine rollout plans in nyc","0"
"back 2 my old hood covered today's opening of the new mega vaccine site at yankee stadium in the bronx don't risk getting turned away you must be 65 you must be a bronx resident by appointment only full story tonight on lx news new york","0"
"president addressed the covid vaccine distribution those on the east coast more now on your local stations' newscasts on and an complete wrapup tonight on the with","0"
"the united states has eclipsed 18 million coronavirus cases according to 319000 people have died from the virus nationwide the vaccine rollout has begun here in the southern tier who gets it first and more tonight on","0"
"i get this vaccine tomorrow and i am ready they give you a lil card as well showing you've gotten the first and 2nd doses","1"
"will be taking my covid19 vaccine this friday","1"
"what a thrill to meet upstate hospital housekeeper kenzo mukendi who is fully inoculated after his 2nd shot lovely man who takes his job seriously tonight on nbc3 news at 700","0"
"people wait hours in the rain at a brooklyn vaccination site to get vaccinated filmed and owned by leeroy johnson pfizer coronavirus johnsonandjohnson happeningnow breaking","0"
"happeningnow mayor vaccine appointments tomorrow are postponed live with the mayor now","0"
"happeningnow about 1000 people gather at columbus circle for a protest against the mandatory shot 1000s chant we will not comply nyc vaccine saturdayvibes","-1"
"happeningnow activists speaks out about the mandatory vaccine at the protest against the mandatory vaccine in city hall nyc vaccinepassport covid19 nyc","-1"
"happeningnow president elect biden trump administration's vaccine rollout is falling far behind live","0"
"happeningnow at the no mandate vaccine protest in nyc protesters chant freedom over fear nyc covid19 vaccinepassport","-1"
"happeningnow at the protest against the mandatory shot in columbus circle in nyc man says how does a pregnant women get turned away from the hospital because she doesn't have the shot vaccine saturdaythoughts nyc","-1"
"happening now at linda rosenthal place maga and blm activists are upset about the vaccine mandate bill she put in filmed and owned by leeroy johnson breaking maga blacklivesmatter","0"
"presidentelect biden will announce on his new health team and president trump will deliver remarks at an vaccine summit the latest news streaming this afternoon at 1pm et with anchoring live coverage on cbsn alwayson","0"
"nyc schools in k5 reopen inperson learning today after it closed last month new york lieutenant governor joined earlier on cbsn on the state's response to the pandemic and the vaccine alwayson","0"
"healthnutrition covid19vaccine drmarkleung your vaccine questions answered","0"
"happening now president biden sets goal of fully vaccinating 160 million adults by july 4 cbsn alwayson","0"
"watch dr anthony fauci and other health experts joined in an cbsn special a shot of hope vaccine questions answered streaming sunday evening at 6pm etpt alwayson","0"
"if you're heading out the door on this saturday take cbsn with you by downloading the free app talks with md mayor on tx winter storm and covid vaccine delays on this blackhistorymonth and so much more alwayson","0"
"stream the latest weekend news this sunday live free 247 on cbsn anchoring tday from her home studio in new york city the day's top stories as pfizer vaccines are being shipped in an race against covid freelive247 alwayson","0"
"skipping second dose of covid vaccine could undermine effort to stop the pandemic senior reporter joined earlier on cbsn with the latest developments fascinating conversation tanya and stephen","0"
"katemckinnon as 2 doctors tonight first drfauci and then dr weknowdis come on vaccine like the 80's classic come on eileen snl","0"
"i guess all i want for christmas is my two vaccine shots","1"
"dr fauci to my african american brothers and sisters the vaccine you're about to take was developed by an african american woman thesundayshow","0"
"dr fauci says black woman among scientists who developed covid vaccine via how much you wanna bet was never going to give them praise","0"
"dr fauci says black woman among scientists who developed covid vaccine","0"
"i will publicly take the vaccine ny gov cuomo says he will take the covidvaccine publicly and enlists dr fauci to join him","0"
"kicks off nyc's first vaccine weekend of faith at the albanian islamic cultural center in staten island with imam tahir kuki rabbi mendy mirocznik reverend dr terry troia and other staten island community leaders nycvaccineforall","0"
"our president dr wayne j riley participated in an asksuny segment on vaccine facts","0"
"top infectious disease official dr a faucihighlighted the importance of the us quickly gaining control of the delta variant warning continued community spread could lead to even more dangerous mutations of covid including those capable of evading the protection of vaccine","0"
"covid19 vaccine dr kristen marks id expert at newyorkpresbyterianweill cornell medical center answers frequently asked questions about the covid19 vaccine","0"
"dr anthony fauci america's top disease expert told garrett on the to be aired tomorrow streaming at 5pm et on cbsn that will talk with presidentelect joe biden on the covid response and the vaccine process","0"
"world health organization listed astrazeneca and oxford university's covid19 vaccine for emergency use","0"
"the world health organization who has warned that social distancing measures will need to stay in place for the rest of this year even as vaccination rollouts get under way globally because it takes time to build up herd immunity","0"
"world health organization calls for moratorium on covid19 vaccine booster doses","0"
"if this makes all the anti vax people stay in their homes let's do it","1"
"how are we being forced to take a vaccine this is crazy","-1"
"im sorry but i dont feel bad for unvaccinated people because its literally their choice to refuse the vaccine","-1"
"unfortunately a fair proportion of them refuse the vaccine","-1"
"this gene altering experimental device aka a vaccine without animal trials we are the trials safe and effective by whose standard big pharma and current government","-1"
"first time this genetically modified devices been used they've tried it for virus it fails in the animal trials so they told president trump oh we don't need animal trials we're going to give you a vaccine in 9 months and they lied to him and they lie to all the rest of us","-1"
"in the past every time the mrna a genetically modified medical device was tried to use as a vaccine the animals died during the trials i guess that's why the vaccine companies decided not to have animal trials we are the guinea pigs no jam for me","-1"
"it's time to hand out the therapeutics and the prophylactics test vaccines to make sure they're good for everyone host animal trials like all other vaccines oh but i heard that animal trials with this vaccine this mdna kills all the animals let's save our country from virus","-1"
"mdna as a vaccine has been tried several times and they lose during animal trials because the animals die just so happened that they did not use animal trials on this aka vaccine i wonder why we are the guinea pigs well not me i refuse to take the jab","-1"
"the genetically modified vaccine causes protein spikes which causes microscopic blood clots in your blood vessels your brain your heart and your spine this is science this type of vaccine has failed more than once through animal trials and of course they had none","-1"
"this mrna vaccine has failed animal trials more then once our effort should be therapeutics so if you catch this virus you can get better instead of testing everybody and maybe the testing equipment is faulty and now we have all these people thinking of this sick but no symptoms","-1"
"can we stop calling it a vaccine it doesn't prevent you from getting it and only lightens the symptoms which if you have a healthy immune system should fight off on its own like the flu shot let's call it the covid shot","-1"
"masks don't do anything kids don't need masks they aren't going to die from covid facts are facts if you wanna get the vaccine that's your choice but you can't force people to wear masks and get an experimental vaccine that doesn't prevent anything this is a free country","-1"
"why why do i continue to voluntarily live in this state and city the vaccine doesnt prevent spread if that means someone not vaxed is at harm for themself then just let it be how does forcing this stop covid when it clearly doesnt prevent spread","-1"
"i'm tired of this covid vaccine propaganda most the patients i see have the vaccine and are still getting sick sure the vaccine doesn't prevent you from catching it it lessens the effects but ppl are still catching it and getting very sick so wtf","-1"
"got all that back in grammar school i'm not anti vaccine i'm anti forced compliance with an unapproved vaccine","-1"
"i should take a vaccineunapproved yet by fdawincreasingly seen side effectsserious reactions plus who knows what longer term effectsonly to reduce the miniscule chance of spreading virus to the already vaccinated just should the vaccine itself not be 100 fullproof","-1"
"nobody ever forced healthy people to wear useless masks nor to inject healthy people nor those that have antibodies from already having covid get an untested unapproved unnecessary quasi vaccine now go home and get your shinebox","-1"
"this sunday come out to gracie mansion and say no to the ridiculous vaccine mandates in nyc created by mayor bill de blasio what happened to my body my choice every business owner restaurant owner should come out on sunday enough is enough mybodymychoice nomoremandates","-1"
"trying to blame the fda no one is going to take an untested an unapproved vaccine you are the one who has been playing games through the whole crisis you want to save lives tell people to wear masks and remain socially distant and set an example by doing it yourself","-1"
"wow i'm so sorry this happened to your mother i hope she recovers quickly sending you tons of loving and healing energy definitely not getting the vaccine shot i was already skeptical but this just confirms these shots were not tested properly","-1"
"it's not getting the vaccine is not mandatory this is just bullshit and creates a false narrative private companies can do what they want","-1"
"no and i'm not getting the vaccine","-1"
"guess i won't use them because i'm not getting the vaccine","-1"
"me i'm not getting the vaccine lockdown fanatics i hope you get the virus you deserve it me thanks i hope i do too","-1"
"looks like suffolk county is the only county in nys not getting the vaccine follow the money","-1"
"when a friend of mine is a nurse and tells me she is not getting the vaccine that seriously tells me something she also lives in florida","-1"
"this is why i'm not getting the vaccine bc i have a food allergy and other allergies as well plus i have an autoimmune disease called plaque psoriasis","-1"
"why shouldn't i make a comparison you cannot condemn alm for not getting the vaccine when many bl aren't getting it either","-1"
"1 it isn't a vaccine 2 it makes your body start producing an inflammatory antigen 3 doesn't prevent acquisition or transmission of the rona esp delta variant 4 not fda approved 5 adverse reaction rates gt risk of severe covid 6 they know that they're being deceived","-1"
"this is not a vaccine and the shot is not fda approved","-1"
"about to get vaxxed up by a vaccine that's not fda approved and isn't guaranteed to prevent what it's supposed to 2021 things","-1"
"it's also mind blowing that nobody ever brings up the fact it's not fda approved 80 of people i know who have gotten the vaccine have no idea it's not approved by the fda shit is mind blowing to me","-1"
"one that understands that the vaccine was only authorized not fda approved no one knows the effects to our bodies years down the line","-1"
"you mean like the fact there are no long term safety studies the vaccine is not fda approved reactions and even death have been reported and two of the vaccine manufacturers jandj and pfizer have bern found guilty of causing irreparable harmdeath with other drugs","-1"
"i believe it's because it's still considered emergency and not fda approved yet we had to sign things verbally agree etc they can't force an experimental vax","-1"
"why do you want a vaccine that really is not fda approved","-1"
"rfk has proof that the vaccine does not work to prevent infection as anyone looking beyond the mainstream media scriptt knows why in hell would he be vaccinated it takes a brainwashed person to take a shot that has killed many thousands only 50 of the us is using their head","-1"
"where did you see an argument vaccine fucked up a close family member and there's nothing we can do cant even sue anyone it's not even fda approve but here you are talking about brainwashed","-1"
"yeah asking for id is voter suppression but it's not vaccine suppression when they ask for it to get your stupid shot leftists are the dumbest and most easily brainwashed people on earth","-1"
"fake pandemic only gullible brainwashed sheep take this non vaccine vaccine enjoy yours and good luck w it","-1"
"you don't get it because you have been brainwashed to believe covid is a serious threat to young healthy individuals it's not anymore serious to them than the flu the vaccine has killed plenty and it's long term effects are unknown","-1"
"sheep don't deserve a break the vaccine isn't a vaccine you're brainwashed sadly you aren't alone why gas only 50 of ppl in the cdc been vaccinated think about that","-1"
"i know voter id is a republican thing and vaccine passport is a democrat thing but both are the same in collecting data and forcing people to have an id of sort to enter a specific facility but damn people are so brainwashed","-1"
"yes that is their plan brainwash then controlthe media is completely on the take they withhold the truth especially when it comes to this vaccine agenda","-1"
"yes covid 19 is fatal only 95 out of every 100 who get it recover even with the vaccine out the media shovels the shit","-1"
"that would not surpise me the vaccine is only 95 effective tens of millions have had the vaccine you'd expect thousands to get covid especially if they engaged in riskier behavior after getting the vaccine","-1"
"agree but just to clarify the vaccine is about achieving herd immunity and natural immunity also helps for the same objective hard to put those in the same sentence with bleach","-1"
"the effectiveness of the vaccine is fucking failing yet they still want you to get it i bet they just mixed bleach and ginger ale together and now they forcing it","-1"
"if he was so proud of the vaccine why did he take it in secret guess he realized the disinfectant bleach wasn't going to get the job done","-1"
"i'm nt gettint tneg reactions to tjandj vax being put on a temp hold those 6 families tht lost a love one hardly feel they r jst tprice of ending tpandemic and aft tpsychopath saying tk bleach and 500k dead flk wb plzd","-1"
"sure but that doesn't mean that anyone with high blood pressure who now has hesitancy around a vaccine that isn't an mrna is a bumbling moron ready to dip their children in bleach","-1"
"kamala i don't trust the president who suggested injecting bleach to tell me i should take a vaccine rushed out before election day republicans the vaccine is space cum intended to make us into alien hybrids controlled by george soros meghan both sides are to blame","-1"
"hum i read and heard blacks saying they don't trust the vaccine that they are being experimented on must have misunderstood","-1"
"i'm a registered nurse and have not taken the covid19 vaccine i work giving the vaccine and covid19 testings i don't trust these vaccines because they made them too fast also i believe this whole covid19 pandemic is a ploy for government control over the general population","-1"
"sucks on their vape i don't trust the vaccine no enough research in it","-1"
"severe allergies allergic reaction to covid19 vaccine reported","-1"
"fox 5 ny health care worker in nyc has serious allergic reaction to coronavirus vaccine via","-1"
"breaking nyc health department says one health care worker has had a significant allergic reaction to their covid19 vaccine the health care worker is stable and the city says it's just one allergic reaction out of over 30000 vaccines that were administered","-1"
"imagine avoiding the vaccine altogether and then getting the vaccine but dying from an allergic reaction i don't trust or yet i'll stay locked down until y'all have more research","-1"
"what's causing rare allergic reactions to pfizer's vaccine","-1"
"do not get the vaccine i got one of the severe side effects penis enlargement","-1"
"surreal to read an entire ny times article about vaccine mandates that fails to mention natural covid immunity which is clearly an elephant in the room","-1"
"no vaccine passport can be taken seriously if those who had covid already aren't eligible for it whether you're for or against vaccine passports compelling people with covid immunity to vaccinate is disqualifying","-1"
"they took a woman's kid away because she wouldn't get vaccine this is real in america wake up people or your next 1984","-1"
"is a deep state shill you think it's a coincidence her hit single is good 4 u then she becomes the vaccine girl for the white house wake up people she's cia possibly nsa maybe even nfta","-1"
"we went from wash your hands don't touch your face to if you don't take the vaccine you'll lose your job and be banned from traveling forever wake up people","-1"
"germany's paul ehrlich institute has recorded 31 sinus vein thrombosis cases after astrazeneca covid shot spiegel death followed in 9 of the 31 cases spiegel","-1"
"the ppl vs the vaccine chipped and brainwashed","-1"
"why does facebook think i would be interested in a rod stewart and cheap trick concert that vaccine chip must be malfunctioning","-1"
"the revolutionary power of bio platforms or why it took just 48 hours to develop the covid19 vaccine nanotechnology nano","-1"
"y'all not scared of the corona virus but y'all scared of the vaccine","-1"
"people more scared of the vaccine than the virus","-1"
"and y'all scared of the vaccine plsss","-1"
"fuck your vaccine will never take it","-1"
"i can say this as much as a million times i will never take the covid vaccine","-1"
"ppl from oswego be at their peak living it up in this room but then say shit like idk what's in that vaccine and therefore i will never take it","-1"
"so the yankees coach tested positive for covid and he is fully vaccinated make it make sense because the vaccine suppose to work right foh","-1"
"shannon kelly 25 of new jersey also tested positive for covid19 and experienced a cold congestion and an earache after receiving the johnson and johnson vaccine","-1"
"had a patient today who got the 2nd dose of the vaccine 5 days ago and he tested positive for covid today","-1"
"what about ramping up testing for variants for example i know a physician who received two doses of pfizer vaccine and subsequently became ill and tested positive for covid19 not sick enough to be admitted but anosmia weight loss shouldn't someone look into what strain","-1"
"i'm a physician in ny and tested positive 5 weeks post my second moderna vaccine minimal symptoms but likely contagious please get the word out","-1"
"some have tested positive even after first covid vaccine dose","-1"
"there is no justification for mandating vaccines if you have been tested frequently and have not tested positive you do not need the vaccine getting vaccinated will not prevent you from becoming infected transmitting nor being a symptomatic we need choices covid19","-1"
"my oldest daughter got the vaccine a few weeks ago yesterday she tested positive with covid after 2 days of horrific symptoms neck rash fever cough and pain the vaccine does not protect you","-1"
"if you didn't know j and j are like the kingpins of opioids to the pharma world they killed millions made billions and had a hand in creating the opioid epidemic 260 millions is peanuts to them opioidcrisis abovethelaw saynotodrugs","-1"
"fuck you pro vax son of a bitch","-1"
"that is true but the vax is also less effective because it was geared toward a spike protein from the og rona or an older variant and not the spike protein from the delta variant","-1"
"the damage to vaccine hesitancy is the concern here npis are not keeping cases at bay and time has run out with public support for them what happens if we don't reach herd immunity via vaccination because people think they are rushed and dangerous more lockdowns","1"
"bro they really making the vaccine mandatory i'm running away","-1"
"i'm starting a mass protest end the government's control over us the polio vaccine has been given to children for far too long they don't even ask the child just prick the poor defenseless baby with a needle more info to follow tyranny usa antivaccine vaccine","-1"
"next week it might be something completely different meanwhile this isn't even an approved vaccine","-1"
"letting big tech create and implement covid vaccine passports","-1"
"i do not want that vaccine why must they enforce it","-1"
"today at gracie mansion come out and say enough is enough with ridiculous vaccine mandates mybodymychoice nomoremandates medicalfreedom freedomrally nycfreedomrally","-1"
"so i am cleaning and scrubbing like i do every weekend taking my vaccine frustration out on the apartmentmy only way of fighting back right nowfucking covid","-1"
"some people think that those who are vaccinated are going to die in the next few years due to the vaccine y'all realize the people who manufactured it also received it right why would they poison themselves and the people they love this is not a koolaid scenario","-1"
"go get a vaccine and next year your penis will fall off cdc does not know this for sure but anything is possible in science according to president and bathtub scientist joe biden","-1"
"it takes 3 years to know the neg effects of a vaccine itbis impossible for the fda to approve a vaccine you are a fucking coward for letting this happen","-1"
"then why are you a vaccine pusher when you know people are dying if you care about sparing one child's life then stop pushing stuff on people that could kill them idiot","-1"
"note i will now require a copy of your current vaccine passport before i retweet you","-1"
"you know i was the first to tell you how stupid itbsoinded saying the unvaxed was causing the delta well im also here to tell you if you want more people to get the vaccine then stop lying to them 1 leaked video of someone fake getting the vax 1 mil nottruth","-1"
"dear new yorkers it is now our job to make this hurt for them you need to start being judicious about where you spend money do not give your business to anywhere that mandates vax or masks if that means making small sacrifices or inconveniences do it hit them where it hurt","-1"
"if ppl choose not to take the vaccine that's their choice they can do whatever the fuck they want with their bodyi don't care about the reason i literally do not give one single fuck","-1"
"free thinkers when watching tv news about covid i don't believe in mainstream media i'm a free thinker free thinkers when watching the same tv news channel about vaccine killing someone you see i told ya vaccine are killing people vaccine vaccination","-1"
"if not he will still recover and be absolutely fine without a vax","-1"
"i asked corporate if i could request toby never get the vaccine in hopes he'd get covid","-1"
"yo brunch at my house vaccine free","-1"
"i know this was posted by an old head because everyone i know that won't get the vaccine would rather serve crack than this country","-1"
"while some stories i have heard simply from word of mouth and family or friends of individuals who have died after having received one or both doses of a vaccine i have seen written articles to that effect provided i can pull appropriate links together may i send them to you","-1"
"why do you keep singling out unvaccinated when the vaccinated is spreading it as well the vaccine doesn't stop transmission of an airborne virus how much are you guys getting paid for this p u s h for the vaccine you are starting to sound like a drug dealer pusher","-1"
"right but unvaccinated in this context is wrong it's those nonimmune who you desire to avoid you're more covid safe around unvaccinated ppl who had covid than around mayor de blasio by virtue of his j and j vaccine that's a major problem with nyc's vaccine verification","-1"
"ok lil sheep just keep following their rules make sure u rush out and get their vaccine too","-1"
"i had a surgeon friend recommend baby aspirin no i have perfect health otherwise the vaccine not for everyone natural immunity must count","-1"
"the american people are acting like sheep ready for slaughter what do we need a vaccine that has complications when the recovery rate to this virus is 99 get it get over it and let's move on","-1"
"soooo fr our census if we draw s how many nyers are betw 60 and 65 and do not reflect any of th vax categories of phase 1a and 1b job cats comorbidities any other phases i should be listing etc what data must be in this calculation","-1"
"my dad is fake out of commission because of that stupid vaccine and my brother is a waste of fucking space i should never in life be shoveling this much snow likeeeeeee where the kids at who wanna make a coin cus i was one of them i aint built for this shit now","-1"
"ny is run by 66 of the vaccine they received is just sitting for weeks","1"
"does this mean the people who get this vaccine are registered to the state and government aside from the people who've been killed by the virus and victims of an american administrationiveconduction operational strength and power to business by cultural affairs anonymous","-1"
"if these 2 people keep their maks when getting this close even after being vaccinated tells me that the vaccine is not effective kamala already told us she didnt trust the vaccine","-1"
"they have to be getting paid as much as they play those stupid vaccine commercials between tv and radio","-1"
"the discourse regarding rent relief unemployment and student loans is insufferableit's down right fucking insufferableand the vaccine discourse is absolutely horrific","-1"
"again headlines tell us to panic because oxford vaccine doesn't protect against mild cases of s african variant but isn't the issue whether it prevents hospitalizations death scientist who led team there's still protection against deaths hospitalizations severe disease","1"
"some reasons the claim unvaccinated americans may create vaccine evading variants is ridiculous there are over 50x more unvaccinated people outside the us all variants of concern were born last year internationally covid that truly evades vaccines wouldn't evolve for years","-1"
"i swear to god some people rushed to get the vaccine so they could feel like they had a free pass to shit on people online for not being as morally virtuous as they are","-1"
"earth to mike leaders are currently trying to implement vaccine passports in this country do something","-1"
"i'm nt getting tneg reactions to tjandj vax being put on a temp hold those 6 families tht lost a love one hardly feel they r jst tprice of ending tpandemic aft tpsychopath saying tk bleach and 500k dead one wld hv thought tchange wb welcomed","-1"
"lmao it's because everyone who is taking the vaccine has an iq of the average pre schooler","-1"
"i know two people have lost they life off of that vaccine virus crap so serious","-1"
"if you had the virus and have the antibodies there is absolutely no reason to get the vaccine which kills the antibodies the chance of dieing from this is slim to none of you get it you get it big deal i had it was perfectly fine","-1"
"naive of me to think new york would create the vaccine verification system and then actually use it i guess i'm masking again in most indoor situations hurray","1"
"all the cdc did today was convince people who were on the fence about getting the vaccine to definitely not get it","-1"
"oh hell no thankful i didn't put no vaccine into my body","-1"
"there are still right wingers seeking to undermine the vaccine effort","1"
"so damien wasn't vaccine injured","1"
"i'm in no rush to get the vaccine foh","-1"
"kiss my vax new york new york","1"
"vaccine hesitancy ftw china credit score 0 nothin' mike lindell fauciliedpeopledied","-1"
"it's a totally different vaccine","-1"
"i've never had fomo as bad as when i see people posting their little vaccine cards on social media","1"
"focusing on arms before the vaccine","1"
"i meani already got the vaccinebut if i was on the fence about it and clare or rose told me to get it i would it's obviously mind control","1"
"guess what princess they don't want that vaccine it's only for pussies like yourself sally weak minded democrat liberal cnn watching sheep lol loser","-1"
"people get vax id's they'll prob require it upon letting you enter unmasked or st i thought about just going in putting my stuff in my locker mask included and if asked i'm in a bikini where did you want me to wear the badge on my arm ya nazi they'll prob leave me be","-1"
"the mayor is not going to take the vaccine because he's just as scared as most of us new yorkers coronavirusvaccine mayordeblasioisfullofcrap","-1"
"it's deeper than that the evil people released a pandemic on us we the people then they had big pharma make a vaccine whats wrong with this picture","-1"
"this is incorrect because the vaccine mandates include the prior infected and there are no rcts that show efficacy for people who had covid already","-1"
"shop with the hard to reach areas cuomo has cut off an entire county from the vaccine suffolk county is to white to get the vaccine seniors are dieing","1"
"tune in to tomorrow morning to check out these vaccine angels helping to get niagara county vaccinated out of the kindness of their hearts","1"
"and that's why people are buying fake vaccine cards","-1"
"let them refuse vaccine let natural selection take over its harsh but im immunocompromisedvaccinated got the delta variant going out 1x with mask to buy sanitizersoap 1043 for 5 days if i didnt have vaccine dr said i wouldve died wearamask deltavariant getvaccinated","1"
"although being vaccinated is often framed as an individual decision it's not the essential truth by","1"
"and people say my body my choice about the vaccine","-1"
"guess you don't know that children under 12 aren't cleared to receive the vaccine yet the vaccine that you don't trust yet somehow still want your impotus to get a standing ovation for","-1"
"vaccines and vaccine passports custom sneakersavantgarde art projects who's using which bathroom why do republicansconservatives get their genitals in a lather over such mundane issues","-1"
"it would be great if there was a mobile unit to bring vaccine to seniors who can't get out the vans they sent were nice but the residents of senior housing were not told in time to sign up the flu vaccine is brought to the senior centers why not covid vaccines","-1"
